dataset,gsm,donor_id,compartment,module_id,configured_genes,mapped_genes,mapped_fraction,mapping_pass,mapped_gene_symbols,duplicate_feature_rows
GSE244889,GSM7831813,Pa-17F,NP,ecm_collagen_remodeling,24,24,1.000000,True,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP13;MMP2;MMP3;MMP9;POSTN;SPARC;TIMP1;TIMP2;TNC,0
GSE244889,GSM7831813,Pa-17F,NP,inflammatory_nfkb,21,21,1.000000,True,CCL2;CCL5;CXCL8;FOS;IKBKB;IKBKG;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,0
GSE244889,GSM7831813,Pa-17F,NP,hypoxia_oxidative_stress,18,18,1.000000,True,BNIP3;CA9;EGLN1;EPAS1;GCLM;GPX1;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,0
GSE244889,GSM7831813,Pa-17F,NP,disc_matrix_homeostasis,15,15,1.000000,True,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,0
GSE244889,GSM7831814,Pb-55F,NP,ecm_collagen_remodeling,24,24,1.000000,True,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP13;MMP2;MMP3;MMP9;POSTN;SPARC;TIMP1;TIMP2;TNC,24
GSE244889,GSM7831814,Pb-55F,NP,inflammatory_nfkb,21,21,1.000000,True,CCL2;CCL5;CXCL8;FOS;IKBKB;IKBKG;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,21
GSE244889,GSM7831814,Pb-55F,NP,hypoxia_oxidative_stress,18,18,1.000000,True,BNIP3;CA9;EGLN1;EPAS1;GCLM;GPX1;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,18
GSE244889,GSM7831814,Pb-55F,NP,disc_matrix_homeostasis,15,15,1.000000,True,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,15
GSE244889,GSM7831815,Pab-24M,NP,ecm_collagen_remodeling,24,24,1.000000,True,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP13;MMP2;MMP3;MMP9;POSTN;SPARC;TIMP1;TIMP2;TNC,48
GSE244889,GSM7831815,Pab-24M,NP,inflammatory_nfkb,21,21,1.000000,True,CCL2;CCL5;CXCL8;FOS;IKBKB;IKBKG;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,42
GSE244889,GSM7831815,Pab-24M,NP,hypoxia_oxidative_stress,18,18,1.000000,True,BNIP3;CA9;EGLN1;EPAS1;GCLM;GPX1;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,36
GSE244889,GSM7831815,Pab-24M,NP,disc_matrix_homeostasis,15,15,1.000000,True,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,30
GSE244889,GSM7831816,Pab-30M,NP,ecm_collagen_remodeling,24,24,1.000000,True,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP13;MMP2;MMP3;MMP9;POSTN;SPARC;TIMP1;TIMP2;TNC,72
GSE244889,GSM7831816,Pab-30M,NP,inflammatory_nfkb,21,21,1.000000,True,CCL2;CCL5;CXCL8;FOS;IKBKB;IKBKG;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,63
GSE244889,GSM7831816,Pab-30M,NP,hypoxia_oxidative_stress,18,18,1.000000,True,BNIP3;CA9;EGLN1;EPAS1;GCLM;GPX1;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,54
GSE244889,GSM7831816,Pab-30M,NP,disc_matrix_homeostasis,15,15,1.000000,True,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,45
GSE244889,GSM7831817,Pc-41M,NP,ecm_collagen_remodeling,24,24,1.000000,True,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP13;MMP2;MMP3;MMP9;POSTN;SPARC;TIMP1;TIMP2;TNC,96
GSE244889,GSM7831817,Pc-41M,NP,inflammatory_nfkb,21,21,1.000000,True,CCL2;CCL5;CXCL8;FOS;IKBKB;IKBKG;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,84
GSE244889,GSM7831817,Pc-41M,NP,hypoxia_oxidative_stress,18,18,1.000000,True,BNIP3;CA9;EGLN1;EPAS1;GCLM;GPX1;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,72
GSE244889,GSM7831817,Pc-41M,NP,disc_matrix_homeostasis,15,15,1.000000,True,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,60
GSE244889,GSM7831818,Pd-62F,NP,ecm_collagen_remodeling,24,24,1.000000,True,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP13;MMP2;MMP3;MMP9;POSTN;SPARC;TIMP1;TIMP2;TNC,120
GSE244889,GSM7831818,Pd-62F,NP,inflammatory_nfkb,21,21,1.000000,True,CCL2;CCL5;CXCL8;FOS;IKBKB;IKBKG;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,105
GSE244889,GSM7831818,Pd-62F,NP,hypoxia_oxidative_stress,18,18,1.000000,True,BNIP3;CA9;EGLN1;EPAS1;GCLM;GPX1;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,90
GSE244889,GSM7831818,Pd-62F,NP,disc_matrix_homeostasis,15,15,1.000000,True,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,75
GSE244889,GSM7831819,Pd-59F,NP,ecm_collagen_remodeling,24,24,1.000000,True,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP13;MMP2;MMP3;MMP9;POSTN;SPARC;TIMP1;TIMP2;TNC,144
GSE244889,GSM7831819,Pd-59F,NP,inflammatory_nfkb,21,21,1.000000,True,CCL2;CCL5;CXCL8;FOS;IKBKB;IKBKG;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,126
GSE244889,GSM7831819,Pd-59F,NP,hypoxia_oxidative_stress,18,18,1.000000,True,BNIP3;CA9;EGLN1;EPAS1;GCLM;GPX1;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,108
GSE244889,GSM7831819,Pd-59F,NP,disc_matrix_homeostasis,15,15,1.000000,True,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,90
