dataset,gsm,donor_id,compartment,disease_state,included_cells,total_umi_included_cells,annotation_source
GSE244889,GSM7831813,Pa-17F,NP,MDD,5371,67860426,data\derived\annotation_external\GSE244889_RAW_cell_annotation.csv.gz
GSE244889,GSM7831814,Pb-55F,NP,MDD,2114,15001138,data\derived\annotation_external\GSE244889_RAW_cell_annotation.csv.gz
GSE244889,GSM7831815,Pab-24M,NP,MDD,5998,80969098,data\derived\annotation_external\GSE244889_RAW_cell_annotation.csv.gz
GSE244889,GSM7831816,Pab-30M,NP,MDD,7223,94450849,data\derived\annotation_external\GSE244889_RAW_cell_annotation.csv.gz
GSE244889,GSM7831817,Pc-41M,NP,SDD,5421,104510338,data\derived\annotation_external\GSE244889_RAW_cell_annotation.csv.gz
GSE244889,GSM7831818,Pd-62F,NP,SDD,8776,91837005,data\derived\annotation_external\GSE244889_RAW_cell_annotation.csv.gz
GSE244889,GSM7831819,Pd-59F,NP,SDD,7487,82737505,data\derived\annotation_external\GSE244889_RAW_cell_annotation.csv.gz
