cohort_id,cohort_role,analysis_role,inference_key_type,compartment,module_id,contrast_label,excluded_donor_or_library_key,excluded_arm,remaining_comparison_n,remaining_target_n,leave_one_out_effect_target_minus_comparison,leave_one_out_effect_direction,full_effect_direction,direction_agrees_with_full_effect,leave_one_out_status
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,ecm_collagen_remodeling,advanced_degeneration_associated_minus_healthy_low_grade,SP21.013,target,3,9,-0.45312517,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,ecm_collagen_remodeling,advanced_degeneration_associated_minus_healthy_low_grade,SP21.014,target,3,9,-0.45202772,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,ecm_collagen_remodeling,advanced_degeneration_associated_minus_healthy_low_grade,SP21.016,target,3,9,-0.41681738,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,ecm_collagen_remodeling,advanced_degeneration_associated_minus_healthy_low_grade,SP21.017,target,3,9,-0.44619978,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,ecm_collagen_remodeling,advanced_degeneration_associated_minus_healthy_low_grade,SP22.002,target,3,9,-0.40245109,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,ecm_collagen_remodeling,advanced_degeneration_associated_minus_healthy_low_grade,SP22.003,target,3,9,-0.40121902,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,hypoxia_oxidative_stress,advanced_degeneration_associated_minus_healthy_low_grade,SP21.015,comparison,2,10,0.11034119,positive_higher_target_severity,negative_lower_target_severity,false,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,hypoxia_oxidative_stress,advanced_degeneration_associated_minus_healthy_low_grade,SP21.018,comparison,2,10,-0.06400128,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,hypoxia_oxidative_stress,advanced_degeneration_associated_minus_healthy_low_grade,SP22.001,comparison,2,10,-0.06258020,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,hypoxia_oxidative_stress,advanced_degeneration_associated_minus_healthy_low_grade,SP20.002,target,3,9,0.01212176,positive_higher_target_severity,negative_lower_target_severity,false,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,hypoxia_oxidative_stress,advanced_degeneration_associated_minus_healthy_low_grade,SP20.006,target,3,9,0.00527355,positive_higher_target_severity,negative_lower_target_severity,false,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,hypoxia_oxidative_stress,advanced_degeneration_associated_minus_healthy_low_grade,SP21.007,target,3,9,-0.01965695,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,hypoxia_oxidative_stress,advanced_degeneration_associated_minus_healthy_low_grade,SP21.011,target,3,9,-0.02740677,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,hypoxia_oxidative_stress,advanced_degeneration_associated_minus_healthy_low_grade,SP21.013,target,3,9,0.00005845,positive_higher_target_severity,negative_lower_target_severity,false,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,hypoxia_oxidative_stress,advanced_degeneration_associated_minus_healthy_low_grade,SP21.014,target,3,9,-0.00679706,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,hypoxia_oxidative_stress,advanced_degeneration_associated_minus_healthy_low_grade,SP21.016,target,3,9,-0.01721702,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,hypoxia_oxidative_stress,advanced_degeneration_associated_minus_healthy_low_grade,SP21.017,target,3,9,0.02239263,positive_higher_target_severity,negative_lower_target_severity,false,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,hypoxia_oxidative_stress,advanced_degeneration_associated_minus_healthy_low_grade,SP22.002,target,3,9,-0.01131064,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,hypoxia_oxidative_stress,advanced_degeneration_associated_minus_healthy_low_grade,SP22.003,target,3,9,-0.01159224,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,inflammatory_nfkb,advanced_degeneration_associated_minus_healthy_low_grade,SP21.015,comparison,2,10,0.09686387,positive_higher_target_severity,negative_lower_target_severity,false,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,inflammatory_nfkb,advanced_degeneration_associated_minus_healthy_low_grade,SP21.018,comparison,2,10,-0.00726368,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,inflammatory_nfkb,advanced_degeneration_associated_minus_healthy_low_grade,SP22.001,comparison,2,10,-0.11194186,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,inflammatory_nfkb,advanced_degeneration_associated_minus_healthy_low_grade,SP20.002,target,3,9,-0.04569368,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,inflammatory_nfkb,advanced_degeneration_associated_minus_healthy_low_grade,SP20.006,target,3,9,-0.01473427,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,inflammatory_nfkb,advanced_degeneration_associated_minus_healthy_low_grade,SP21.007,target,3,9,-0.00020609,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,inflammatory_nfkb,advanced_degeneration_associated_minus_healthy_low_grade,SP21.011,target,3,9,0.00952220,positive_higher_target_severity,negative_lower_target_severity,false,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,inflammatory_nfkb,advanced_degeneration_associated_minus_healthy_low_grade,SP21.013,target,3,9,0.00719470,positive_higher_target_severity,negative_lower_target_severity,false,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,inflammatory_nfkb,advanced_degeneration_associated_minus_healthy_low_grade,SP21.014,target,3,9,-0.01109092,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,inflammatory_nfkb,advanced_degeneration_associated_minus_healthy_low_grade,SP21.016,target,3,9,-0.03138948,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,inflammatory_nfkb,advanced_degeneration_associated_minus_healthy_low_grade,SP21.017,target,3,9,-0.00956220,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,inflammatory_nfkb,advanced_degeneration_associated_minus_healthy_low_grade,SP22.002,target,3,9,0.01180404,positive_higher_target_severity,negative_lower_target_severity,false,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,inflammatory_nfkb,advanced_degeneration_associated_minus_healthy_low_grade,SP22.003,target,3,9,0.00968349,positive_higher_target_severity,negative_lower_target_severity,false,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,disc_matrix_homeostasis,advanced_degeneration_associated_minus_healthy_low_grade,SP21.015,comparison,2,8,0.42129694,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,disc_matrix_homeostasis,advanced_degeneration_associated_minus_healthy_low_grade,SP21.018,comparison,2,8,-0.23468030,negative_lower_target_severity,positive_higher_target_severity,false,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,disc_matrix_homeostasis,advanced_degeneration_associated_minus_healthy_low_grade,SP22.001,comparison,2,8,-0.02684959,negative_lower_target_severity,positive_higher_target_severity,false,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,disc_matrix_homeostasis,advanced_degeneration_associated_minus_healthy_low_grade,SP21.007,target,3,7,0.01839867,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,disc_matrix_homeostasis,advanced_degeneration_associated_minus_healthy_low_grade,SP21.011,target,3,7,0.08626067,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,disc_matrix_homeostasis,advanced_degeneration_associated_minus_healthy_low_grade,SP21.013,target,3,7,0.02735454,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,disc_matrix_homeostasis,advanced_degeneration_associated_minus_healthy_low_grade,SP21.014,target,3,7,0.10565200,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,disc_matrix_homeostasis,advanced_degeneration_associated_minus_healthy_low_grade,SP21.016,target,3,7,-0.00094270,negative_lower_target_severity,positive_higher_target_severity,false,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,disc_matrix_homeostasis,advanced_degeneration_associated_minus_healthy_low_grade,SP21.017,target,3,7,-0.00314097,negative_lower_target_severity,positive_higher_target_severity,false,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,disc_matrix_homeostasis,advanced_degeneration_associated_minus_healthy_low_grade,SP22.002,target,3,7,0.09120334,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,disc_matrix_homeostasis,advanced_degeneration_associated_minus_healthy_low_grade,SP22.003,target,3,7,0.10125992,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,ecm_collagen_remodeling,advanced_degeneration_associated_minus_healthy_low_grade,SP21.015,comparison,2,8,0.33522768,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,ecm_collagen_remodeling,advanced_degeneration_associated_minus_healthy_low_grade,SP21.018,comparison,2,8,0.32928848,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,ecm_collagen_remodeling,advanced_degeneration_associated_minus_healthy_low_grade,SP22.001,comparison,2,8,0.37179214,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,ecm_collagen_remodeling,advanced_degeneration_associated_minus_healthy_low_grade,SP21.007,target,3,7,0.35210385,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,ecm_collagen_remodeling,advanced_degeneration_associated_minus_healthy_low_grade,SP21.011,target,3,7,0.38310634,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,ecm_collagen_remodeling,advanced_degeneration_associated_minus_healthy_low_grade,SP21.013,target,3,7,0.31856374,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,ecm_collagen_remodeling,advanced_degeneration_associated_minus_healthy_low_grade,SP21.014,target,3,7,0.33114658,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,ecm_collagen_remodeling,advanced_degeneration_associated_minus_healthy_low_grade,SP21.016,target,3,7,0.31488932,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,ecm_collagen_remodeling,advanced_degeneration_associated_minus_healthy_low_grade,SP21.017,target,3,7,0.31796598,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,ecm_collagen_remodeling,advanced_degeneration_associated_minus_healthy_low_grade,SP22.002,target,3,7,0.36990729,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,ecm_collagen_remodeling,advanced_degeneration_associated_minus_healthy_low_grade,SP22.003,target,3,7,0.37580569,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,hypoxia_oxidative_stress,advanced_degeneration_associated_minus_healthy_low_grade,SP21.015,comparison,2,8,0.21801021,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
