dataset,gsm,panel,configured_gene_count,measured_gene_count,measured_fraction
GSE229711,GSM7173748,AF_support,17,17,1.000000
GSE229711,GSM7173748,NP_support,15,15,1.000000
GSE229711,GSM7173748,immune_exclusion,17,17,1.000000
GSE229711,GSM7173748,endothelial_exclusion,9,9,1.000000
GSE229711,GSM7173748,mural_exclusion,7,7,1.000000
GSE229711,GSM7173748,erythroid_exclusion,7,7,1.000000
GSE229711,GSM7173749,AF_support,17,17,1.000000
GSE229711,GSM7173749,NP_support,15,15,1.000000
GSE229711,GSM7173749,immune_exclusion,17,17,1.000000
GSE229711,GSM7173749,endothelial_exclusion,9,9,1.000000
GSE229711,GSM7173749,mural_exclusion,7,7,1.000000
GSE229711,GSM7173749,erythroid_exclusion,7,7,1.000000
GSE229711,GSM7173750,AF_support,17,17,1.000000
GSE229711,GSM7173750,NP_support,15,15,1.000000
GSE229711,GSM7173750,immune_exclusion,17,17,1.000000
GSE229711,GSM7173750,endothelial_exclusion,9,9,1.000000
GSE229711,GSM7173750,mural_exclusion,7,7,1.000000
GSE229711,GSM7173750,erythroid_exclusion,7,7,1.000000
GSE229711,GSM7173751,AF_support,17,17,1.000000
GSE229711,GSM7173751,NP_support,15,15,1.000000
GSE229711,GSM7173751,immune_exclusion,17,17,1.000000
GSE229711,GSM7173751,endothelial_exclusion,9,9,1.000000
GSE229711,GSM7173751,mural_exclusion,7,7,1.000000
GSE229711,GSM7173751,erythroid_exclusion,7,7,1.000000
GSE229711,GSM7173752,AF_support,17,17,1.000000
GSE229711,GSM7173752,NP_support,15,15,1.000000
GSE229711,GSM7173752,immune_exclusion,17,17,1.000000
GSE229711,GSM7173752,endothelial_exclusion,9,9,1.000000
GSE229711,GSM7173752,mural_exclusion,7,7,1.000000
GSE229711,GSM7173752,erythroid_exclusion,7,7,1.000000
GSE229711,GSM7173753,AF_support,17,17,1.000000
GSE229711,GSM7173753,NP_support,15,15,1.000000
GSE229711,GSM7173753,immune_exclusion,17,17,1.000000
GSE229711,GSM7173753,endothelial_exclusion,9,9,1.000000
GSE229711,GSM7173753,mural_exclusion,7,7,1.000000
GSE229711,GSM7173753,erythroid_exclusion,7,7,1.000000
