cohort_id,cohort_role,analysis_role,inference_key_type,compartment,module_id,severity_orientation,contrast_label,severity_group,contrast_arm,n_donor_or_library_keys,mean_module_score_log1p_cpm,sd_module_score_log1p_cpm,median_module_score_log1p_cpm,min_module_score_log1p_cpm,max_module_score_log1p_cpm,mean_ci_lower,mean_ci_upper,mean_ci_status,median_included_cells,min_included_cells,max_included_cells,median_total_umi_included_cells,analysis_note
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,disc_matrix_homeostasis,higher_severity_minus_lower_severity,advanced_degeneration_associated_minus_healthy_low_grade,advanced_degeneration_associated,target,8,1.98518521,0.33027479,1.96032179,1.61841100,2.37996178,1.70906858,2.26130184,available_t,2894.500,1376.000,13748.000,65276288.000,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,disc_matrix_homeostasis,higher_severity_minus_lower_severity,advanced_degeneration_associated_minus_healthy_low_grade,healthy_low_grade,comparison,3,1.93192953,0.67048991,1.77171897,1.35605756,2.66801205,0.26634027,3.59751879,available_t,7070.000,1650.000,15257.000,122814612.000,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,ecm_collagen_remodeling,higher_severity_minus_lower_severity,advanced_degeneration_associated_minus_healthy_low_grade,advanced_degeneration_associated,target,8,5.07878688,0.19796665,5.10546307,4.81509516,5.29261432,4.91328261,5.24429114,available_t,2894.500,1376.000,13748.000,65276288.000,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,ecm_collagen_remodeling,higher_severity_minus_lower_severity,advanced_degeneration_associated_minus_healthy_low_grade,healthy_low_grade,comparison,3,4.73335078,0.04603474,4.71293394,4.70105553,4.78606286,4.61899415,4.84770740,available_t,7070.000,1650.000,15257.000,122814612.000,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,hypoxia_oxidative_stress,higher_severity_minus_lower_severity,advanced_degeneration_associated_minus_healthy_low_grade,advanced_degeneration_associated,target,8,5.01783585,0.15417755,5.02382855,4.74163421,5.20400373,4.88894019,5.14673151,available_t,2894.500,1376.000,13748.000,65276288.000,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,hypoxia_oxidative_stress,higher_severity_minus_lower_severity,advanced_degeneration_associated_minus_healthy_low_grade,healthy_low_grade,comparison,3,4.84020140,0.10396602,4.87675630,4.72289498,4.92095293,4.58193549,5.09846731,available_t,7070.000,1650.000,15257.000,122814612.000,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,inflammatory_nfkb,higher_severity_minus_lower_severity,advanced_degeneration_associated_minus_healthy_low_grade,advanced_degeneration_associated,target,8,2.22115378,0.09136621,2.17821740,2.13221707,2.37533714,2.14476972,2.29753785,available_t,2894.500,1376.000,13748.000,65276288.000,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,inflammatory_nfkb,higher_severity_minus_lower_severity,advanced_degeneration_associated_minus_healthy_low_grade,healthy_low_grade,comparison,3,2.33207744,0.14106774,2.30455145,2.20680143,2.48487945,1.98164576,2.68250913,available_t,7070.000,1650.000,15257.000,122814612.000,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE244889_directional,external_directional_support_only,directional_effect_size_and_stability_only,presumed_donor_or_library_key,NP,disc_matrix_homeostasis,higher_severity_minus_lower_severity,severe_SDD_minus_mild_MDD,mild_MDD,comparison,4,5.26423271,0.07572205,5.24576828,5.19970566,5.36568863,5.14374203,5.38472340,available_t,5684.500,2114.000,7223.000,74414762.000,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE244889_directional,external_directional_support_only,directional_effect_size_and_stability_only,presumed_donor_or_library_key,NP,disc_matrix_homeostasis,higher_severity_minus_lower_severity,severe_SDD_minus_mild_MDD,severe_SDD,target,3,5.30071394,0.28071087,5.39953456,4.98395656,5.51865071,4.60338948,5.99803841,available_t,7487.000,5421.000,8776.000,91837005.000,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE244889_directional,external_directional_support_only,directional_effect_size_and_stability_only,presumed_donor_or_library_key,NP,ecm_collagen_remodeling,higher_severity_minus_lower_severity,severe_SDD_minus_mild_MDD,mild_MDD,comparison,4,4.75914058,0.40832457,4.71580259,4.38001232,5.22494484,4.10940508,5.40887609,available_t,5684.500,2114.000,7223.000,74414762.000,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE244889_directional,external_directional_support_only,directional_effect_size_and_stability_only,presumed_donor_or_library_key,NP,ecm_collagen_remodeling,higher_severity_minus_lower_severity,severe_SDD_minus_mild_MDD,severe_SDD,target,3,5.72949047,0.40977653,5.85405573,5.27188592,6.06252977,4.71154915,6.74743180,available_t,7487.000,5421.000,8776.000,91837005.000,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE244889_directional,external_directional_support_only,directional_effect_size_and_stability_only,presumed_donor_or_library_key,NP,hypoxia_oxidative_stress,higher_severity_minus_lower_severity,severe_SDD_minus_mild_MDD,mild_MDD,comparison,4,4.70822363,0.11459687,4.71639354,4.57314332,4.82696412,4.52587444,4.89057283,available_t,5684.500,2114.000,7223.000,74414762.000,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE244889_directional,external_directional_support_only,directional_effect_size_and_stability_only,presumed_donor_or_library_key,NP,hypoxia_oxidative_stress,higher_severity_minus_lower_severity,severe_SDD_minus_mild_MDD,severe_SDD,target,3,4.94632123,0.18219043,4.86457752,4.81931865,5.15506752,4.49373512,5.39890734,available_t,7487.000,5421.000,8776.000,91837005.000,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE244889_directional,external_directional_support_only,directional_effect_size_and_stability_only,presumed_donor_or_library_key,NP,inflammatory_nfkb,higher_severity_minus_lower_severity,severe_SDD_minus_mild_MDD,mild_MDD,comparison,4,2.83915533,0.55393436,2.67924881,2.38057917,3.61754452,1.95772214,3.72058851,available_t,5684.500,2114.000,7223.000,74414762.000,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE244889_directional,external_directional_support_only,directional_effect_size_and_stability_only,presumed_donor_or_library_key,NP,inflammatory_nfkb,higher_severity_minus_lower_severity,severe_SDD_minus_mild_MDD,severe_SDD,target,3,2.88844681,0.28488012,2.97255726,2.57098142,3.12180174,2.18076536,3.59612825,available_t,7487.000,5421.000,8776.000,91837005.000,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
