cohort_id,compartment,spec_index,source_score_files,raw_rows_loaded,rows_matching_dataset,rows_matching_compartment,rows_matching_contrast_groups,row_disposition,reason,row_count
GSE230809_discovery,AF,0,GSE229711_RAW_module_scores.csv;GSE230808_RAW_module_scores.csv,96,96,52,52,retained,score_available_and_mapping_pass,52
GSE230809_discovery,NP,1,GSE229711_RAW_module_scores.csv;GSE230808_RAW_module_scores.csv,96,96,44,44,retained,score_available_and_mapping_pass,44
GSE244889_directional,NP,2,GSE244889_RAW_module_scores.csv,28,28,28,28,retained,score_available_and_mapping_pass,28
GSE153066_support,NP,3,GSE153066_AllSample.counts_module_scores.csv,64,64,64,64,retained,score_available_and_mapping_pass,64
GSE165722_score_level,NP,4,GSE165722_RAW_module_scores.csv,32,32,32,32,retained,score_available_and_mapping_pass,32
