dataset,gsm,donor_id,compartment,disease_state,module_id,gene_symbol,feature_rows_mapped,pseudobulk_count,total_umi_included_cells
GSE229711,GSM7173748,SP21.015,AF,healthy,ecm_collagen_remodeling,ADAMTS4,1,8,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,ecm_collagen_remodeling,ADAMTS5,1,4724,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,ecm_collagen_remodeling,COL1A1,1,148201,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,ecm_collagen_remodeling,COL1A2,1,324508,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,ecm_collagen_remodeling,COL3A1,1,139129,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,ecm_collagen_remodeling,COL5A1,1,9878,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,ecm_collagen_remodeling,COL5A2,1,36375,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,ecm_collagen_remodeling,COL6A1,1,226484,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,ecm_collagen_remodeling,COL6A2,1,104374,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,ecm_collagen_remodeling,COL6A3,1,140272,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,ecm_collagen_remodeling,DCN,1,556310,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,ecm_collagen_remodeling,FN1,1,280034,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,ecm_collagen_remodeling,LOX,1,57572,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,ecm_collagen_remodeling,LOXL2,1,11610,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,ecm_collagen_remodeling,LUM,1,330822,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,ecm_collagen_remodeling,MMP2,1,7072,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,ecm_collagen_remodeling,MMP3,1,246,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,ecm_collagen_remodeling,MMP9,1,0,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,ecm_collagen_remodeling,MMP13,1,11,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,ecm_collagen_remodeling,POSTN,1,32285,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,ecm_collagen_remodeling,SPARC,1,112240,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,ecm_collagen_remodeling,TIMP1,1,454352,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,ecm_collagen_remodeling,TIMP2,1,54347,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,ecm_collagen_remodeling,TNC,1,8580,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,inflammatory_nfkb,CCL2,1,25379,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,inflammatory_nfkb,CCL5,1,58,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,inflammatory_nfkb,CXCL8,1,2818,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,inflammatory_nfkb,FOS,1,23604,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,inflammatory_nfkb,IKBKB,1,790,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,inflammatory_nfkb,IKBKG,1,828,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,inflammatory_nfkb,IL1B,1,20,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,inflammatory_nfkb,IL6,1,703,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,inflammatory_nfkb,JUN,1,15461,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,inflammatory_nfkb,NFKB1,1,2447,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,inflammatory_nfkb,NFKB2,1,511,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,inflammatory_nfkb,NFKBIA,1,10059,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,inflammatory_nfkb,NLRP3,1,7,101954698
