dataset,gsm,donor_id,compartment,disease_state,module_id,module_score_log1p_cpm,score_status,mapped_fraction,included_cells,total_umi_included_cells
GSE230808,GSM7235331,SP20.002,AF,diseased,ecm_collagen_remodeling,3.47621427,score_available,1.000000,471,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,inflammatory_nfkb,2.68538306,score_available,1.000000,471,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,hypoxia_oxidative_stress,4.87186819,score_available,0.944444,471,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,disc_matrix_homeostasis,4.26727501,score_available,1.000000,471,3166379
GSE230808,GSM7235332,SP20.006,AF,diseased,ecm_collagen_remodeling,3.67369749,score_available,1.000000,1304,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,inflammatory_nfkb,2.40674833,score_available,1.000000,1304,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,hypoxia_oxidative_stress,4.93350206,score_available,0.944444,1304,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,disc_matrix_homeostasis,5.12105573,score_available,1.000000,1304,18461300
GSE230808,GSM7235333,SP21.007,AF,diseased,ecm_collagen_remodeling,5.17735577,score_available,1.000000,5360,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,inflammatory_nfkb,2.27599474,score_available,1.000000,5360,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,hypoxia_oxidative_stress,5.15787661,score_available,0.944444,5360,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,disc_matrix_homeostasis,2.76350187,score_available,1.000000,5360,72099228
GSE230808,GSM7235334,SP21.011,AF,diseased,ecm_collagen_remodeling,4.94629228,score_available,1.000000,2100,101714852
GSE230808,GSM7235334,SP21.011,AF,diseased,inflammatory_nfkb,2.18844011,score_available,1.000000,2100,101714852
GSE230808,GSM7235334,SP21.011,AF,diseased,hypoxia_oxidative_stress,5.22762495,score_available,0.944444,2100,101714852
GSE230808,GSM7235334,SP21.011,AF,diseased,disc_matrix_homeostasis,2.56130115,score_available,1.000000,2100,101714852
GSE230808,GSM7235335,SP21.013,AF,diseased,ecm_collagen_remodeling,5.44187042,score_available,1.000000,3739,59809660
GSE230808,GSM7235335,SP21.013,AF,diseased,inflammatory_nfkb,2.20938762,score_available,1.000000,3739,59809660
GSE230808,GSM7235335,SP21.013,AF,diseased,hypoxia_oxidative_stress,4.98043794,score_available,0.944444,3739,59809660
GSE230808,GSM7235335,SP21.013,AF,diseased,disc_matrix_homeostasis,2.08280226,score_available,1.000000,3739,59809660
GSE230808,GSM7235336,SP21.014,AF,diseased,ecm_collagen_remodeling,5.43199342,score_available,1.000000,2374,36909243
GSE230808,GSM7235336,SP21.014,AF,diseased,inflammatory_nfkb,2.37395816,score_available,1.000000,2374,36909243
GSE230808,GSM7235336,SP21.014,AF,diseased,hypoxia_oxidative_stress,5.04213760,score_available,0.944444,2374,36909243
GSE230808,GSM7235336,SP21.014,AF,diseased,disc_matrix_homeostasis,2.52071515,score_available,1.000000,2374,36909243
GSE230808,GSM7235337,SP21.016,AF,diseased,ecm_collagen_remodeling,5.11510039,score_available,1.000000,481,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,inflammatory_nfkb,2.55664522,score_available,1.000000,481,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,hypoxia_oxidative_stress,5.13591720,score_available,0.944444,481,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,disc_matrix_homeostasis,2.94325260,score_available,1.000000,481,16047082
GSE230808,GSM7235338,SP21.017,AF,diseased,ecm_collagen_remodeling,5.37954197,score_available,1.000000,8150,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,inflammatory_nfkb,2.36019972,score_available,1.000000,8150,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,hypoxia_oxidative_stress,4.77943032,score_available,0.944444,8150,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,disc_matrix_homeostasis,2.29350469,score_available,1.000000,8150,12015201
GSE230808,GSM7235339,SP22.002,AF,diseased,ecm_collagen_remodeling,4.98580373,score_available,1.000000,3442,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,inflammatory_nfkb,2.16790354,score_available,1.000000,3442,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,hypoxia_oxidative_stress,5.08275978,score_available,0.944444,3442,80129456
