dataset,gsm,donor_id,compartment,disease_state,module_id,gene_symbol,feature_rows_mapped,pseudobulk_count,total_umi_included_cells
GSE230808,GSM7235331,SP20.002,AF,diseased,hypoxia_oxidative_stress,HMOX1,1,312,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,hypoxia_oxidative_stress,LDHA,1,5680,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,hypoxia_oxidative_stress,NFE2L2,1,456,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,hypoxia_oxidative_stress,NQO1,1,6,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,hypoxia_oxidative_stress,PDK1,1,321,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,hypoxia_oxidative_stress,PRDX1,1,863,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,hypoxia_oxidative_stress,SLC2A1,1,539,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,hypoxia_oxidative_stress,SOD1,1,2305,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,hypoxia_oxidative_stress,SOD2,1,4298,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,hypoxia_oxidative_stress,TXN,1,669,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,hypoxia_oxidative_stress,VEGFA,1,1840,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,disc_matrix_homeostasis,ACAN,1,9706,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,disc_matrix_homeostasis,B3GAT1,1,0,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,disc_matrix_homeostasis,BGN,1,2298,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,disc_matrix_homeostasis,CILP,1,818,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,disc_matrix_homeostasis,COL2A1,1,434,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,disc_matrix_homeostasis,COL9A1,1,2,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,disc_matrix_homeostasis,COL9A2,1,402,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,disc_matrix_homeostasis,COL9A3,1,1134,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,disc_matrix_homeostasis,COMP,1,8585,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,disc_matrix_homeostasis,FMOD,1,2235,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,disc_matrix_homeostasis,HAPLN1,1,208,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,disc_matrix_homeostasis,HAS2,1,50,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,disc_matrix_homeostasis,KRT19,1,0,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,disc_matrix_homeostasis,MATN3,1,0,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,disc_matrix_homeostasis,SOX9,1,1548,3166379
GSE230808,GSM7235332,SP20.006,AF,diseased,ecm_collagen_remodeling,ADAMTS4,1,10,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,ecm_collagen_remodeling,ADAMTS5,1,44,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,ecm_collagen_remodeling,COL1A1,1,149,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,ecm_collagen_remodeling,COL1A2,1,2203,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,ecm_collagen_remodeling,COL3A1,1,351,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,ecm_collagen_remodeling,COL5A1,1,375,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,ecm_collagen_remodeling,COL5A2,1,1205,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,ecm_collagen_remodeling,COL6A1,1,4448,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,ecm_collagen_remodeling,COL6A2,1,4217,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,ecm_collagen_remodeling,COL6A3,1,696,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,ecm_collagen_remodeling,DCN,1,113527,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,ecm_collagen_remodeling,FN1,1,68445,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,ecm_collagen_remodeling,LOX,1,581,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,ecm_collagen_remodeling,LOXL2,1,198,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,ecm_collagen_remodeling,LUM,1,42746,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,ecm_collagen_remodeling,MMP2,1,1,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,ecm_collagen_remodeling,MMP3,1,1302,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,ecm_collagen_remodeling,MMP9,1,0,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,ecm_collagen_remodeling,MMP13,1,0,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,ecm_collagen_remodeling,POSTN,1,0,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,ecm_collagen_remodeling,SPARC,1,31724,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,ecm_collagen_remodeling,TIMP1,1,9942,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,ecm_collagen_remodeling,TIMP2,1,7021,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,ecm_collagen_remodeling,TNC,1,1,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,inflammatory_nfkb,CCL2,1,24,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,inflammatory_nfkb,CCL5,1,4,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,inflammatory_nfkb,CXCL8,1,0,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,inflammatory_nfkb,FOS,1,119246,18461300
