cohort_id,cohort_role,analysis_role,inference_key_type,compartment,module_id,contrast_label,excluded_donor_or_library_key,excluded_arm,remaining_comparison_n,remaining_target_n,leave_one_out_effect_target_minus_comparison,leave_one_out_effect_direction,full_effect_direction,direction_agrees_with_full_effect,leave_one_out_status
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,ecm_collagen_remodeling,degenerated_minus_relatively_normal,CTL6,comparison,7,8,-0.51221077,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,ecm_collagen_remodeling,degenerated_minus_relatively_normal,CTL7,comparison,7,8,-0.31239134,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,ecm_collagen_remodeling,degenerated_minus_relatively_normal,CTL8,comparison,7,8,-0.33589837,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,ecm_collagen_remodeling,degenerated_minus_relatively_normal,IDD1,target,8,7,-0.21522233,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,ecm_collagen_remodeling,degenerated_minus_relatively_normal,IDD2,target,8,7,-0.28202077,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,ecm_collagen_remodeling,degenerated_minus_relatively_normal,IDD3,target,8,7,-0.42826820,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,ecm_collagen_remodeling,degenerated_minus_relatively_normal,IDD4,target,8,7,-0.52473225,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,ecm_collagen_remodeling,degenerated_minus_relatively_normal,IDD5,target,8,7,-0.31099612,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,ecm_collagen_remodeling,degenerated_minus_relatively_normal,IDD6,target,8,7,-0.57771557,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,ecm_collagen_remodeling,degenerated_minus_relatively_normal,IDD7,target,8,7,-0.37680703,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
