cohort_id,dataset,matrix_file,source_value_scale,module_id,configured_genes,mapped_genes,mapped_fraction,mapping_pass,mapped_gene_symbols,duplicate_locked_gene_symbols,matrix_unique_gene_symbols,matrix_sample_columns
GSE167931_external_tpm_sensitivity,GSE167931,data/raw/geo_candidates/GSE167931/GSE167931_AllSamplesTPMValue.txt.gz,GEO-deposited TPM,ecm_collagen_remodeling,24,24,1.000000,true,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP2;MMP3;MMP9;MMP13;POSTN;SPARC;TIMP1;TIMP2;TNC,SOD2:ENSG00000112096_retained;ENSG00000285441_excluded,57133,9
GSE167931_external_tpm_sensitivity,GSE167931,data/raw/geo_candidates/GSE167931/GSE167931_AllSamplesTPMValue.txt.gz,GEO-deposited TPM,inflammatory_nfkb,21,21,1.000000,true,CCL2;CCL5;CXCL8;FOS;IKBKB;IKBKG;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,SOD2:ENSG00000112096_retained;ENSG00000285441_excluded,57133,9
GSE167931_external_tpm_sensitivity,GSE167931,data/raw/geo_candidates/GSE167931/GSE167931_AllSamplesTPMValue.txt.gz,GEO-deposited TPM,hypoxia_oxidative_stress,18,18,1.000000,true,BNIP3;CA9;EGLN1;EPAS1;GCLM;GPX1;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,SOD2:ENSG00000112096_retained;ENSG00000285441_excluded,57133,9
GSE167931_external_tpm_sensitivity,GSE167931,data/raw/geo_candidates/GSE167931/GSE167931_AllSamplesTPMValue.txt.gz,GEO-deposited TPM,disc_matrix_homeostasis,15,15,1.000000,true,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,SOD2:ENSG00000112096_retained;ENSG00000285441_excluded,57133,9
