dataset,gsm,module_id,gene_symbol,feature_rows_mapped,pseudobulk_count,total_umi_included_cells
GSE251686,GSM7986006,inflammatory_nfkb,JUN,1,62065,16969754
GSE251686,GSM7986006,inflammatory_nfkb,NFKB1,1,275,16969754
GSE251686,GSM7986006,inflammatory_nfkb,NFKB2,1,162,16969754
GSE251686,GSM7986006,inflammatory_nfkb,NFKBIA,1,14605,16969754
GSE251686,GSM7986006,inflammatory_nfkb,NLRP3,1,7,16969754
GSE251686,GSM7986006,inflammatory_nfkb,RELA,1,676,16969754
GSE251686,GSM7986006,inflammatory_nfkb,RELB,1,138,16969754
GSE251686,GSM7986006,inflammatory_nfkb,STAT3,1,1598,16969754
GSE251686,GSM7986006,inflammatory_nfkb,TICAM1,1,119,16969754
GSE251686,GSM7986006,inflammatory_nfkb,TLR2,1,56,16969754
GSE251686,GSM7986006,inflammatory_nfkb,TLR4,1,79,16969754
GSE251686,GSM7986006,inflammatory_nfkb,TNF,1,59,16969754
GSE251686,GSM7986006,inflammatory_nfkb,TNFRSF1A,1,2089,16969754
GSE251686,GSM7986006,hypoxia_oxidative_stress,BNIP3,1,3541,16969754
GSE251686,GSM7986006,hypoxia_oxidative_stress,CA9,1,3401,16969754
GSE251686,GSM7986006,hypoxia_oxidative_stress,EGLN1,1,716,16969754
GSE251686,GSM7986006,hypoxia_oxidative_stress,EPAS1,1,921,16969754
GSE251686,GSM7986006,hypoxia_oxidative_stress,GCLM,1,487,16969754
GSE251686,GSM7986006,hypoxia_oxidative_stress,GPX1,1,4207,16969754
GSE251686,GSM7986006,hypoxia_oxidative_stress,HIF1A,1,5865,16969754
GSE251686,GSM7986006,hypoxia_oxidative_stress,HMOX1,1,470,16969754
GSE251686,GSM7986006,hypoxia_oxidative_stress,LDHA,1,20253,16969754
GSE251686,GSM7986006,hypoxia_oxidative_stress,NFE2L2,1,1001,16969754
GSE251686,GSM7986006,hypoxia_oxidative_stress,NQO1,1,667,16969754
GSE251686,GSM7986006,hypoxia_oxidative_stress,PDK1,1,201,16969754
GSE251686,GSM7986006,hypoxia_oxidative_stress,PRDX1,1,11556,16969754
GSE251686,GSM7986006,hypoxia_oxidative_stress,SLC2A1,1,1452,16969754
GSE251686,GSM7986006,hypoxia_oxidative_stress,SOD1,1,7301,16969754
GSE251686,GSM7986006,hypoxia_oxidative_stress,SOD2,2,3542,16969754
GSE251686,GSM7986006,hypoxia_oxidative_stress,TXN,1,8512,16969754
GSE251686,GSM7986006,hypoxia_oxidative_stress,VEGFA,1,4273,16969754
GSE251686,GSM7986006,disc_matrix_homeostasis,ACAN,1,36123,16969754
GSE251686,GSM7986006,disc_matrix_homeostasis,B3GAT1,1,1,16969754
GSE251686,GSM7986006,disc_matrix_homeostasis,BGN,1,48820,16969754
GSE251686,GSM7986006,disc_matrix_homeostasis,CILP,1,2584,16969754
GSE251686,GSM7986006,disc_matrix_homeostasis,COL2A1,1,196455,16969754
GSE251686,GSM7986006,disc_matrix_homeostasis,COL9A1,1,369,16969754
GSE251686,GSM7986006,disc_matrix_homeostasis,COL9A2,1,6640,16969754
GSE251686,GSM7986006,disc_matrix_homeostasis,COL9A3,1,13697,16969754
GSE251686,GSM7986006,disc_matrix_homeostasis,COMP,1,135082,16969754
GSE251686,GSM7986006,disc_matrix_homeostasis,FMOD,1,66301,16969754
GSE251686,GSM7986006,disc_matrix_homeostasis,HAPLN1,1,28474,16969754
GSE251686,GSM7986006,disc_matrix_homeostasis,HAS2,1,563,16969754
GSE251686,GSM7986006,disc_matrix_homeostasis,KRT19,1,15,16969754
GSE251686,GSM7986006,disc_matrix_homeostasis,MATN3,1,926,16969754
GSE251686,GSM7986006,disc_matrix_homeostasis,SOX9,1,5353,16969754
