dataset,gsm,module_id,gene_symbol,feature_rows_mapped,pseudobulk_count,total_umi_included_cells
GSE251686,GSM7986001,disc_matrix_homeostasis,COL9A2,1,10512,72931025
GSE251686,GSM7986001,disc_matrix_homeostasis,COL9A3,1,22448,72931025
GSE251686,GSM7986001,disc_matrix_homeostasis,COMP,1,602143,72931025
GSE251686,GSM7986001,disc_matrix_homeostasis,FMOD,1,175557,72931025
GSE251686,GSM7986001,disc_matrix_homeostasis,HAPLN1,1,89906,72931025
GSE251686,GSM7986001,disc_matrix_homeostasis,HAS2,1,3228,72931025
GSE251686,GSM7986001,disc_matrix_homeostasis,KRT19,1,11,72931025
GSE251686,GSM7986001,disc_matrix_homeostasis,MATN3,1,76,72931025
GSE251686,GSM7986001,disc_matrix_homeostasis,SOX9,1,73950,72931025
GSE251686,GSM7986003,ecm_collagen_remodeling,ADAMTS4,1,29,49182514
GSE251686,GSM7986003,ecm_collagen_remodeling,ADAMTS5,1,120,49182514
GSE251686,GSM7986003,ecm_collagen_remodeling,COL1A1,1,9829,49182514
GSE251686,GSM7986003,ecm_collagen_remodeling,COL1A2,1,37928,49182514
GSE251686,GSM7986003,ecm_collagen_remodeling,COL3A1,1,45237,49182514
GSE251686,GSM7986003,ecm_collagen_remodeling,COL5A1,1,8485,49182514
GSE251686,GSM7986003,ecm_collagen_remodeling,COL5A2,1,12239,49182514
GSE251686,GSM7986003,ecm_collagen_remodeling,COL6A1,1,25481,49182514
GSE251686,GSM7986003,ecm_collagen_remodeling,COL6A2,1,30348,49182514
GSE251686,GSM7986003,ecm_collagen_remodeling,COL6A3,1,4313,49182514
GSE251686,GSM7986003,ecm_collagen_remodeling,DCN,1,1004626,49182514
GSE251686,GSM7986003,ecm_collagen_remodeling,FN1,1,390381,49182514
GSE251686,GSM7986003,ecm_collagen_remodeling,LOX,1,8805,49182514
GSE251686,GSM7986003,ecm_collagen_remodeling,LOXL2,1,7211,49182514
GSE251686,GSM7986003,ecm_collagen_remodeling,LUM,1,698907,49182514
GSE251686,GSM7986003,ecm_collagen_remodeling,MMP2,1,1015,49182514
GSE251686,GSM7986003,ecm_collagen_remodeling,MMP3,1,3142,49182514
GSE251686,GSM7986003,ecm_collagen_remodeling,MMP9,1,1,49182514
GSE251686,GSM7986003,ecm_collagen_remodeling,MMP13,1,422,49182514
GSE251686,GSM7986003,ecm_collagen_remodeling,POSTN,1,1709,49182514
