dataset,gsm,donor_id,compartment,disease_state,sample,included_cells,total_supplied_value,genes_streamed,unique_gene_symbols,duplicate_gene_symbol_rows,all_supplied_values_integer_like,matrix_status,barcode_mapping_status,score_scope
GSE165722,GSM5048708,Sample1,NP,mild,Sample1,6194,27097183.00000000,18584,18584,0,True,integer count-like; GEO calls supplementary values normalized counts,pass_exact_CellIndex_to_matrix_header,all GEO-supplied cells; no re-QC or raw-count pseudobulk
GSE165722,GSM5048709,Sample2,NP,mild,Sample2,5835,31860111.00000000,18893,18893,0,True,integer count-like; GEO calls supplementary values normalized counts,pass_exact_CellIndex_to_matrix_header,all GEO-supplied cells; no re-QC or raw-count pseudobulk
GSE165722,GSM5048710,Sample3,NP,mild,Sample3,6063,8815975.00000000,16387,16387,0,True,integer count-like; GEO calls supplementary values normalized counts,pass_exact_CellIndex_to_matrix_header,all GEO-supplied cells; no re-QC or raw-count pseudobulk
GSE165722,GSM5048711,Sample4,NP,mild,Sample4,5073,10531021.00000000,16226,16226,0,True,integer count-like; GEO calls supplementary values normalized counts,pass_exact_CellIndex_to_matrix_header,all GEO-supplied cells; no re-QC or raw-count pseudobulk
GSE165722,GSM5048712,Sample5,NP,severe,Sample5,7066,17531640.00000000,17234,17234,0,True,integer count-like; GEO calls supplementary values normalized counts,pass_exact_CellIndex_to_matrix_header,all GEO-supplied cells; no re-QC or raw-count pseudobulk
GSE165722,GSM5048713,Sample6,NP,severe,Sample6,6614,25356335.00000000,17932,17932,0,True,integer count-like; GEO calls supplementary values normalized counts,pass_exact_CellIndex_to_matrix_header,all GEO-supplied cells; no re-QC or raw-count pseudobulk
GSE165722,GSM5048714,Sample7,NP,severe,Sample7,6835,35277305.00000000,18933,18933,0,True,integer count-like; GEO calls supplementary values normalized counts,pass_exact_CellIndex_to_matrix_header,all GEO-supplied cells; no re-QC or raw-count pseudobulk
GSE165722,GSM5048715,Sample8,NP,severe,Sample8,5957,9957021.00000000,16843,16843,0,True,integer count-like; GEO calls supplementary values normalized counts,pass_exact_CellIndex_to_matrix_header,all GEO-supplied cells; no re-QC or raw-count pseudobulk
