dataset,gsm,donor_id,compartment,disease_state,module_id,gene_symbol,feature_rows_mapped,supplied_value_sum,total_supplied_value
GSE165722,GSM5048708,Sample1,NP,mild,hypoxia_oxidative_stress,EGLN1,1,1854.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,hypoxia_oxidative_stress,EPAS1,1,319.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,hypoxia_oxidative_stress,GCLM,1,2098.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,hypoxia_oxidative_stress,GPX1,1,3245.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,hypoxia_oxidative_stress,HIF1A,1,6210.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,hypoxia_oxidative_stress,HMOX1,1,4551.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,hypoxia_oxidative_stress,LDHA,1,25617.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,hypoxia_oxidative_stress,NFE2L2,1,9934.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,hypoxia_oxidative_stress,NQO1,1,42.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,hypoxia_oxidative_stress,PDK1,1,587.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,hypoxia_oxidative_stress,PRDX1,1,868.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,hypoxia_oxidative_stress,SLC2A1,1,3185.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,hypoxia_oxidative_stress,SOD1,1,6956.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,hypoxia_oxidative_stress,SOD2,1,30428.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,hypoxia_oxidative_stress,TXN,1,5774.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,hypoxia_oxidative_stress,VEGFA,1,5447.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,disc_matrix_homeostasis,ACAN,1,21607.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,disc_matrix_homeostasis,B3GAT1,1,32.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,disc_matrix_homeostasis,BGN,1,10324.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,disc_matrix_homeostasis,CILP,1,6309.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,disc_matrix_homeostasis,COL2A1,1,33900.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,disc_matrix_homeostasis,COL9A1,1,24.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,disc_matrix_homeostasis,COL9A2,1,2704.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,disc_matrix_homeostasis,COL9A3,1,2583.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,disc_matrix_homeostasis,COMP,1,16476.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,disc_matrix_homeostasis,FMOD,1,18497.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,disc_matrix_homeostasis,HAPLN1,1,3587.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,disc_matrix_homeostasis,HAS2,1,63.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,disc_matrix_homeostasis,KRT19,1,14.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,disc_matrix_homeostasis,MATN3,1,26.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,disc_matrix_homeostasis,SOX9,1,5261.00000000,27097183.00000000
GSE165722,GSM5048709,Sample2,NP,mild,ecm_collagen_remodeling,ADAMTS4,1,596.00000000,31860111.00000000
