dataset,gsm,donor_id,compartment,disease_state,module_id,gene_symbol,feature_rows_mapped,supplied_value_sum,total_supplied_value
GSE165722,GSM5048710,Sample3,NP,mild,disc_matrix_homeostasis,MATN3,1,66.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,disc_matrix_homeostasis,SOX9,1,3861.00000000,8815975.00000000
GSE165722,GSM5048711,Sample4,NP,mild,ecm_collagen_remodeling,ADAMTS4,0,0.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,ecm_collagen_remodeling,ADAMTS5,1,3.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,ecm_collagen_remodeling,COL1A1,1,34.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,ecm_collagen_remodeling,COL1A2,1,106.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,ecm_collagen_remodeling,COL3A1,1,128.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,ecm_collagen_remodeling,COL5A1,1,20.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,ecm_collagen_remodeling,COL5A2,1,105.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,ecm_collagen_remodeling,COL6A1,1,14.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,ecm_collagen_remodeling,COL6A2,1,10.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,ecm_collagen_remodeling,COL6A3,1,12.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,ecm_collagen_remodeling,DCN,1,2918.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,ecm_collagen_remodeling,FN1,1,2282.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,ecm_collagen_remodeling,LOX,1,18.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,ecm_collagen_remodeling,LOXL2,1,16.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,ecm_collagen_remodeling,LUM,1,3762.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,ecm_collagen_remodeling,MMP2,1,6.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,ecm_collagen_remodeling,MMP3,1,150.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,ecm_collagen_remodeling,MMP9,1,9657.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,ecm_collagen_remodeling,MMP13,0,0.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,ecm_collagen_remodeling,POSTN,0,0.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,ecm_collagen_remodeling,SPARC,1,1929.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,ecm_collagen_remodeling,TIMP1,1,392.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,ecm_collagen_remodeling,TIMP2,1,1961.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,ecm_collagen_remodeling,TNC,1,66.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,inflammatory_nfkb,CCL2,1,42.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,inflammatory_nfkb,CCL5,1,657.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,inflammatory_nfkb,CXCL8,1,57051.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,inflammatory_nfkb,FOS,1,20770.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,inflammatory_nfkb,IKBKB,1,326.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,inflammatory_nfkb,IKBKG,0,0.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,inflammatory_nfkb,IL1B,1,14093.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,inflammatory_nfkb,IL6,1,159.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,inflammatory_nfkb,JUN,1,1958.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,inflammatory_nfkb,NFKB1,1,2022.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,inflammatory_nfkb,NFKB2,1,462.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,inflammatory_nfkb,NFKBIA,1,11593.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,inflammatory_nfkb,NLRP3,1,569.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,inflammatory_nfkb,RELA,1,1388.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,inflammatory_nfkb,RELB,1,113.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,inflammatory_nfkb,STAT3,1,3289.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,inflammatory_nfkb,TICAM1,1,124.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,inflammatory_nfkb,TLR2,1,1597.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,inflammatory_nfkb,TLR4,1,1683.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,inflammatory_nfkb,TNF,1,309.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,inflammatory_nfkb,TNFRSF1A,1,1226.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,hypoxia_oxidative_stress,BNIP3,1,129.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,hypoxia_oxidative_stress,CA9,1,6.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,hypoxia_oxidative_stress,EGLN1,1,775.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,hypoxia_oxidative_stress,EPAS1,1,42.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,hypoxia_oxidative_stress,GCLM,1,959.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,hypoxia_oxidative_stress,GPX1,1,890.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,hypoxia_oxidative_stress,HIF1A,1,2146.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,hypoxia_oxidative_stress,HMOX1,1,486.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,hypoxia_oxidative_stress,LDHA,1,10213.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,hypoxia_oxidative_stress,NFE2L2,1,3502.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,hypoxia_oxidative_stress,NQO1,1,12.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,hypoxia_oxidative_stress,PDK1,1,135.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,hypoxia_oxidative_stress,PRDX1,1,431.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,hypoxia_oxidative_stress,SLC2A1,1,1220.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,hypoxia_oxidative_stress,SOD1,1,3875.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,hypoxia_oxidative_stress,SOD2,1,31380.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,hypoxia_oxidative_stress,TXN,1,4235.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,hypoxia_oxidative_stress,VEGFA,1,1678.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,disc_matrix_homeostasis,ACAN,1,298.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,disc_matrix_homeostasis,B3GAT1,1,12.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,disc_matrix_homeostasis,BGN,1,90.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,disc_matrix_homeostasis,CILP,1,907.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,disc_matrix_homeostasis,COL2A1,1,673.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,disc_matrix_homeostasis,COL9A1,1,1.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,disc_matrix_homeostasis,COL9A2,1,161.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,disc_matrix_homeostasis,COL9A3,1,65.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,disc_matrix_homeostasis,COMP,1,72.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,disc_matrix_homeostasis,FMOD,1,728.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,disc_matrix_homeostasis,HAPLN1,1,104.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,disc_matrix_homeostasis,HAS2,1,10.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,disc_matrix_homeostasis,KRT19,0,0.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,disc_matrix_homeostasis,MATN3,1,2.00000000,10531021.00000000
GSE165722,GSM5048711,Sample4,NP,mild,disc_matrix_homeostasis,SOX9,1,488.00000000,10531021.00000000
GSE165722,GSM5048712,Sample5,NP,severe,ecm_collagen_remodeling,ADAMTS4,1,20.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,ecm_collagen_remodeling,ADAMTS5,1,252.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,ecm_collagen_remodeling,COL1A1,1,19216.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,ecm_collagen_remodeling,COL1A2,1,26497.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,ecm_collagen_remodeling,COL3A1,1,56552.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,ecm_collagen_remodeling,COL5A1,1,2870.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,ecm_collagen_remodeling,COL5A2,1,8913.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,ecm_collagen_remodeling,COL6A1,1,4253.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,ecm_collagen_remodeling,COL6A2,1,591.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,ecm_collagen_remodeling,COL6A3,1,4531.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,ecm_collagen_remodeling,DCN,1,225747.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,ecm_collagen_remodeling,FN1,1,164678.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,ecm_collagen_remodeling,LOX,1,2265.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,ecm_collagen_remodeling,LOXL2,1,2601.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,ecm_collagen_remodeling,LUM,1,157783.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,ecm_collagen_remodeling,MMP2,1,1079.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,ecm_collagen_remodeling,MMP3,1,15561.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,ecm_collagen_remodeling,MMP9,1,611.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,ecm_collagen_remodeling,MMP13,1,1041.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,ecm_collagen_remodeling,POSTN,1,6724.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,ecm_collagen_remodeling,SPARC,1,146889.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,ecm_collagen_remodeling,TIMP1,1,692.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,ecm_collagen_remodeling,TIMP2,1,23621.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,ecm_collagen_remodeling,TNC,1,3570.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,inflammatory_nfkb,CCL2,1,562.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,inflammatory_nfkb,CCL5,1,372.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,inflammatory_nfkb,CXCL8,1,68723.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,inflammatory_nfkb,FOS,1,55160.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,inflammatory_nfkb,IKBKB,1,179.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,inflammatory_nfkb,IKBKG,0,0.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,inflammatory_nfkb,IL1B,1,24558.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,inflammatory_nfkb,IL6,1,1042.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,inflammatory_nfkb,JUN,1,6092.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,inflammatory_nfkb,NFKB1,1,1947.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,inflammatory_nfkb,NFKB2,1,304.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,inflammatory_nfkb,NFKBIA,1,13188.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,inflammatory_nfkb,NLRP3,1,986.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,inflammatory_nfkb,RELA,1,1414.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,inflammatory_nfkb,RELB,1,85.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,inflammatory_nfkb,STAT3,1,993.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,inflammatory_nfkb,TICAM1,1,108.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,inflammatory_nfkb,TLR2,1,1234.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,inflammatory_nfkb,TLR4,1,1176.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,inflammatory_nfkb,TNF,1,898.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,inflammatory_nfkb,TNFRSF1A,1,1032.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,hypoxia_oxidative_stress,BNIP3,1,4818.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,hypoxia_oxidative_stress,CA9,1,284.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,hypoxia_oxidative_stress,EGLN1,1,1041.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,hypoxia_oxidative_stress,EPAS1,1,540.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,hypoxia_oxidative_stress,GCLM,1,1781.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,hypoxia_oxidative_stress,GPX1,1,270.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,hypoxia_oxidative_stress,HIF1A,1,4781.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,hypoxia_oxidative_stress,HMOX1,1,7161.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,hypoxia_oxidative_stress,LDHA,1,33679.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,hypoxia_oxidative_stress,NFE2L2,1,4059.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,hypoxia_oxidative_stress,NQO1,1,203.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,hypoxia_oxidative_stress,PDK1,1,477.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,hypoxia_oxidative_stress,PRDX1,1,5489.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,hypoxia_oxidative_stress,SLC2A1,1,1498.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,hypoxia_oxidative_stress,SOD1,1,19492.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,hypoxia_oxidative_stress,SOD2,1,34343.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,hypoxia_oxidative_stress,TXN,1,6604.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,hypoxia_oxidative_stress,VEGFA,1,10005.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,disc_matrix_homeostasis,ACAN,1,13487.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,disc_matrix_homeostasis,B3GAT1,1,1.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,disc_matrix_homeostasis,BGN,1,3851.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,disc_matrix_homeostasis,CILP,1,32043.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,disc_matrix_homeostasis,COL2A1,1,19431.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,disc_matrix_homeostasis,COL9A1,1,54.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,disc_matrix_homeostasis,COL9A2,1,2090.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,disc_matrix_homeostasis,COL9A3,1,307.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,disc_matrix_homeostasis,COMP,1,1726.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,disc_matrix_homeostasis,FMOD,1,72122.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,disc_matrix_homeostasis,HAPLN1,1,11634.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,disc_matrix_homeostasis,HAS2,1,501.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,disc_matrix_homeostasis,KRT19,0,0.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,disc_matrix_homeostasis,MATN3,1,168.00000000,17531640.00000000
GSE165722,GSM5048712,Sample5,NP,severe,disc_matrix_homeostasis,SOX9,1,32366.00000000,17531640.00000000
GSE165722,GSM5048713,Sample6,NP,severe,ecm_collagen_remodeling,ADAMTS4,1,285.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,ecm_collagen_remodeling,ADAMTS5,1,1257.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,ecm_collagen_remodeling,COL1A1,1,88005.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,ecm_collagen_remodeling,COL1A2,1,142556.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,ecm_collagen_remodeling,COL3A1,1,174344.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,ecm_collagen_remodeling,COL5A1,1,15382.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,ecm_collagen_remodeling,COL5A2,1,32434.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,ecm_collagen_remodeling,COL6A1,1,20154.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,ecm_collagen_remodeling,COL6A2,1,1311.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,ecm_collagen_remodeling,COL6A3,1,26742.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,ecm_collagen_remodeling,DCN,1,286497.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,ecm_collagen_remodeling,FN1,1,888824.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,ecm_collagen_remodeling,LOX,1,8943.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,ecm_collagen_remodeling,LOXL2,1,8808.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,ecm_collagen_remodeling,LUM,1,308595.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,ecm_collagen_remodeling,MMP2,1,4157.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,ecm_collagen_remodeling,MMP3,1,58579.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,ecm_collagen_remodeling,MMP9,1,610.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,ecm_collagen_remodeling,MMP13,1,6806.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,ecm_collagen_remodeling,POSTN,1,33284.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,ecm_collagen_remodeling,SPARC,1,262955.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,ecm_collagen_remodeling,TIMP1,1,2738.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,ecm_collagen_remodeling,TIMP2,1,41523.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,ecm_collagen_remodeling,TNC,1,20773.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,inflammatory_nfkb,CCL2,1,2308.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,inflammatory_nfkb,CCL5,1,330.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,inflammatory_nfkb,CXCL8,1,41053.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,inflammatory_nfkb,FOS,1,42356.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,inflammatory_nfkb,IKBKB,1,247.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,inflammatory_nfkb,IKBKG,0,0.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,inflammatory_nfkb,IL1B,1,11167.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,inflammatory_nfkb,IL6,1,2977.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,inflammatory_nfkb,JUN,1,7642.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,inflammatory_nfkb,NFKB1,1,2429.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,inflammatory_nfkb,NFKB2,1,258.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,inflammatory_nfkb,NFKBIA,1,23168.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,inflammatory_nfkb,NLRP3,1,98.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,inflammatory_nfkb,RELA,1,2552.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,inflammatory_nfkb,RELB,1,209.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,inflammatory_nfkb,STAT3,1,3404.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,inflammatory_nfkb,TICAM1,1,147.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,inflammatory_nfkb,TLR2,1,856.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,inflammatory_nfkb,TLR4,1,405.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,inflammatory_nfkb,TNF,1,1823.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,inflammatory_nfkb,TNFRSF1A,1,2631.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,hypoxia_oxidative_stress,BNIP3,1,3695.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,hypoxia_oxidative_stress,CA9,1,1001.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,hypoxia_oxidative_stress,EGLN1,1,1222.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,hypoxia_oxidative_stress,EPAS1,1,2017.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,hypoxia_oxidative_stress,GCLM,1,3440.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,hypoxia_oxidative_stress,GPX1,1,924.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,hypoxia_oxidative_stress,HIF1A,1,7229.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,hypoxia_oxidative_stress,HMOX1,1,19275.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,hypoxia_oxidative_stress,LDHA,1,46989.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,hypoxia_oxidative_stress,NFE2L2,1,6871.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,hypoxia_oxidative_stress,NQO1,1,879.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,hypoxia_oxidative_stress,PDK1,1,295.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,hypoxia_oxidative_stress,PRDX1,1,4954.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,hypoxia_oxidative_stress,SLC2A1,1,3714.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,hypoxia_oxidative_stress,SOD1,1,22774.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,hypoxia_oxidative_stress,SOD2,1,62245.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,hypoxia_oxidative_stress,TXN,1,16940.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,hypoxia_oxidative_stress,VEGFA,1,19640.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,disc_matrix_homeostasis,ACAN,1,19012.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,disc_matrix_homeostasis,B3GAT1,1,12.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,disc_matrix_homeostasis,BGN,1,8242.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,disc_matrix_homeostasis,CILP,1,29903.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,disc_matrix_homeostasis,COL2A1,1,131820.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,disc_matrix_homeostasis,COL9A1,1,229.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,disc_matrix_homeostasis,COL9A2,1,2421.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,disc_matrix_homeostasis,COL9A3,1,709.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,disc_matrix_homeostasis,COMP,1,2673.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,disc_matrix_homeostasis,FMOD,1,94883.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,disc_matrix_homeostasis,HAPLN1,1,21622.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,disc_matrix_homeostasis,HAS2,1,947.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,disc_matrix_homeostasis,KRT19,1,5.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,disc_matrix_homeostasis,MATN3,1,507.00000000,25356335.00000000
GSE165722,GSM5048713,Sample6,NP,severe,disc_matrix_homeostasis,SOX9,1,35135.00000000,25356335.00000000
GSE165722,GSM5048714,Sample7,NP,severe,ecm_collagen_remodeling,ADAMTS4,1,274.00000000,35277305.00000000
