dataset,gsm,donor_id,compartment,disease_state,module_id,gene_symbol,feature_rows_mapped,pseudobulk_count,total_umi_included_cells
GSE230808,GSM7235337,SP21.016,AF,diseased,inflammatory_nfkb,STAT3,7,1404,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,inflammatory_nfkb,TICAM1,7,132,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,inflammatory_nfkb,TLR2,7,29,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,inflammatory_nfkb,TLR4,7,217,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,inflammatory_nfkb,TNF,7,0,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,inflammatory_nfkb,TNFRSF1A,7,2239,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,hypoxia_oxidative_stress,BNIP3,7,6638,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,hypoxia_oxidative_stress,CA9,7,218,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,hypoxia_oxidative_stress,EGLN1,7,628,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,hypoxia_oxidative_stress,EPAS1,7,1685,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,hypoxia_oxidative_stress,GCLM,7,964,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,hypoxia_oxidative_stress,GPX1,0,0,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,hypoxia_oxidative_stress,HIF1A,7,4907,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,hypoxia_oxidative_stress,HMOX1,7,11135,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,hypoxia_oxidative_stress,LDHA,7,18095,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,hypoxia_oxidative_stress,NFE2L2,7,1643,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,hypoxia_oxidative_stress,NQO1,7,3069,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,hypoxia_oxidative_stress,PDK1,7,228,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,hypoxia_oxidative_stress,PRDX1,7,11078,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,hypoxia_oxidative_stress,SLC2A1,7,820,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,hypoxia_oxidative_stress,SOD1,7,7183,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,hypoxia_oxidative_stress,SOD2,7,15092,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,hypoxia_oxidative_stress,TXN,7,18783,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,hypoxia_oxidative_stress,VEGFA,7,637,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,disc_matrix_homeostasis,ACAN,7,2755,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,disc_matrix_homeostasis,B3GAT1,7,0,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,disc_matrix_homeostasis,BGN,7,2274,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,disc_matrix_homeostasis,CILP,7,100,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,disc_matrix_homeostasis,COL2A1,7,541,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,disc_matrix_homeostasis,COL9A1,7,1,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,disc_matrix_homeostasis,COL9A2,7,215,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,disc_matrix_homeostasis,COL9A3,7,392,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,disc_matrix_homeostasis,COMP,7,350,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,disc_matrix_homeostasis,FMOD,7,2922,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,disc_matrix_homeostasis,HAPLN1,7,4548,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,disc_matrix_homeostasis,HAS2,7,81,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,disc_matrix_homeostasis,KRT19,7,66,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,disc_matrix_homeostasis,MATN3,7,38,16047082
GSE230808,GSM7235337,SP21.016,AF,diseased,disc_matrix_homeostasis,SOX9,7,788,16047082
GSE230808,GSM7235338,SP21.017,AF,diseased,ecm_collagen_remodeling,ADAMTS4,8,8,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,ecm_collagen_remodeling,ADAMTS5,8,3407,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,ecm_collagen_remodeling,COL1A1,8,24579,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,ecm_collagen_remodeling,COL1A2,8,35952,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,ecm_collagen_remodeling,COL3A1,8,6369,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,ecm_collagen_remodeling,COL5A1,8,1012,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,ecm_collagen_remodeling,COL5A2,8,2452,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,ecm_collagen_remodeling,COL6A1,8,13036,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,ecm_collagen_remodeling,COL6A2,8,11465,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,ecm_collagen_remodeling,COL6A3,8,3877,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,ecm_collagen_remodeling,DCN,8,58422,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,ecm_collagen_remodeling,FN1,8,26824,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,ecm_collagen_remodeling,LOX,8,10472,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,ecm_collagen_remodeling,LOXL2,8,907,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,ecm_collagen_remodeling,LUM,8,32577,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,ecm_collagen_remodeling,MMP2,8,1955,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,ecm_collagen_remodeling,MMP3,8,19,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,ecm_collagen_remodeling,MMP9,8,0,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,ecm_collagen_remodeling,MMP13,8,10,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,ecm_collagen_remodeling,POSTN,8,2997,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,ecm_collagen_remodeling,SPARC,8,13995,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,ecm_collagen_remodeling,TIMP1,8,21743,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,ecm_collagen_remodeling,TIMP2,8,5333,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,ecm_collagen_remodeling,TNC,8,425,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,inflammatory_nfkb,CCL2,8,1073,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,inflammatory_nfkb,CCL5,8,5,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,inflammatory_nfkb,CXCL8,8,4,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,inflammatory_nfkb,FOS,8,1145,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,inflammatory_nfkb,IKBKB,8,215,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,inflammatory_nfkb,IKBKG,8,141,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,inflammatory_nfkb,IL1B,8,2,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,inflammatory_nfkb,IL6,8,26,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,inflammatory_nfkb,JUN,8,2574,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,inflammatory_nfkb,NFKB1,8,217,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,inflammatory_nfkb,NFKB2,8,102,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,inflammatory_nfkb,NFKBIA,8,332,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,inflammatory_nfkb,NLRP3,8,2,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,inflammatory_nfkb,RELA,8,379,12015201
