dataset,gsm,sample,donor_id,compartment,geo_reported_grade,source_publication_grade,source_publication_severity_group,cells_in_supplied_matrix,matrix_status,eligible_for_raw_count_pseudobulk,eligible_for_score_level_validation,metadata_note
GSE165722,GSM5048708,Sample1,Sample1,NP,1,2,mild,6194,integer count-like; GEO calls supplementary values normalized counts,False,True,"Sample title is used as a presumed donor-level sample ID; GEO does not expose a patient identifier, age, sex, disc level, or batch. GEO grades I-IV conflict with Tu et al. PMID 34825784 Table 1 grades II-V; source-publication group used."
GSE165722,GSM5048709,Sample2,Sample2,NP,1,2,mild,5835,integer count-like; GEO calls supplementary values normalized counts,False,True,"Sample title is used as a presumed donor-level sample ID; GEO does not expose a patient identifier, age, sex, disc level, or batch. GEO grades I-IV conflict with Tu et al. PMID 34825784 Table 1 grades II-V; source-publication group used."
GSE165722,GSM5048710,Sample3,Sample3,NP,2,3,mild,6063,integer count-like; GEO calls supplementary values normalized counts,False,True,"Sample title is used as a presumed donor-level sample ID; GEO does not expose a patient identifier, age, sex, disc level, or batch. GEO grades I-IV conflict with Tu et al. PMID 34825784 Table 1 grades II-V; source-publication group used."
GSE165722,GSM5048711,Sample4,Sample4,NP,2,3,mild,5073,integer count-like; GEO calls supplementary values normalized counts,False,True,"Sample title is used as a presumed donor-level sample ID; GEO does not expose a patient identifier, age, sex, disc level, or batch. GEO grades I-IV conflict with Tu et al. PMID 34825784 Table 1 grades II-V; source-publication group used."
GSE165722,GSM5048712,Sample5,Sample5,NP,3,4,severe,7066,integer count-like; GEO calls supplementary values normalized counts,False,True,"Sample title is used as a presumed donor-level sample ID; GEO does not expose a patient identifier, age, sex, disc level, or batch. GEO grades I-IV conflict with Tu et al. PMID 34825784 Table 1 grades II-V; source-publication group used."
GSE165722,GSM5048713,Sample6,Sample6,NP,3,4,severe,6614,integer count-like; GEO calls supplementary values normalized counts,False,True,"Sample title is used as a presumed donor-level sample ID; GEO does not expose a patient identifier, age, sex, disc level, or batch. GEO grades I-IV conflict with Tu et al. PMID 34825784 Table 1 grades II-V; source-publication group used."
GSE165722,GSM5048714,Sample7,Sample7,NP,4,5,severe,6835,integer count-like; GEO calls supplementary values normalized counts,False,True,"Sample title is used as a presumed donor-level sample ID; GEO does not expose a patient identifier, age, sex, disc level, or batch. GEO grades I-IV conflict with Tu et al. PMID 34825784 Table 1 grades II-V; source-publication group used."
GSE165722,GSM5048715,Sample8,Sample8,NP,4,5,severe,5957,integer count-like; GEO calls supplementary values normalized counts,False,True,"Sample title is used as a presumed donor-level sample ID; GEO does not expose a patient identifier, age, sex, disc level, or batch. GEO grades I-IV conflict with Tu et al. PMID 34825784 Table 1 grades II-V; source-publication group used."
