archive,archive_sha256,archive_bytes,inspected_at_utc,member,bytes,is_file
GSE165722_RAW.tar,f4e3e7a43fe23a8df250fee99dfcd664f0262d997e84e9e2addff83ace86cab6,69949440,2026-08-13T15:16:32.975183+00:00,GSM5048708_Sample1.cellname.txt.gz,44660,True
GSE165722_RAW.tar,f4e3e7a43fe23a8df250fee99dfcd664f0262d997e84e9e2addff83ace86cab6,69949440,2026-08-13T15:16:32.975183+00:00,GSM5048708_Sample1.counts.tsv.gz,10522089,True
GSE165722_RAW.tar,f4e3e7a43fe23a8df250fee99dfcd664f0262d997e84e9e2addff83ace86cab6,69949440,2026-08-13T15:16:32.975183+00:00,GSM5048709_Sample2.cellname.txt.gz,42109,True
GSE165722_RAW.tar,f4e3e7a43fe23a8df250fee99dfcd664f0262d997e84e9e2addff83ace86cab6,69949440,2026-08-13T15:16:32.975183+00:00,GSM5048709_Sample2.counts.tsv.gz,11715605,True
GSE165722_RAW.tar,f4e3e7a43fe23a8df250fee99dfcd664f0262d997e84e9e2addff83ace86cab6,69949440,2026-08-13T15:16:32.975183+00:00,GSM5048710_Sample3.cellname.txt.gz,43650,True
GSE165722_RAW.tar,f4e3e7a43fe23a8df250fee99dfcd664f0262d997e84e9e2addff83ace86cab6,69949440,2026-08-13T15:16:32.975183+00:00,GSM5048710_Sample3.counts.tsv.gz,5260885,True
GSE165722_RAW.tar,f4e3e7a43fe23a8df250fee99dfcd664f0262d997e84e9e2addff83ace86cab6,69949440,2026-08-13T15:16:32.975183+00:00,GSM5048711_Sample4.cellname.txt.gz,36926,True
GSE165722_RAW.tar,f4e3e7a43fe23a8df250fee99dfcd664f0262d997e84e9e2addff83ace86cab6,69949440,2026-08-13T15:16:32.975183+00:00,GSM5048711_Sample4.counts.tsv.gz,5478092,True
GSE165722_RAW.tar,f4e3e7a43fe23a8df250fee99dfcd664f0262d997e84e9e2addff83ace86cab6,69949440,2026-08-13T15:16:32.975183+00:00,GSM5048712_Sample5.cellname.txt.gz,50248,True
GSE165722_RAW.tar,f4e3e7a43fe23a8df250fee99dfcd664f0262d997e84e9e2addff83ace86cab6,69949440,2026-08-13T15:16:32.975183+00:00,GSM5048712_Sample5.counts.tsv.gz,8257078,True
GSE165722_RAW.tar,f4e3e7a43fe23a8df250fee99dfcd664f0262d997e84e9e2addff83ace86cab6,69949440,2026-08-13T15:16:32.975183+00:00,GSM5048713_Sample6.cellname.txt.gz,47316,True
GSE165722_RAW.tar,f4e3e7a43fe23a8df250fee99dfcd664f0262d997e84e9e2addff83ace86cab6,69949440,2026-08-13T15:16:32.975183+00:00,GSM5048713_Sample6.counts.tsv.gz,10393122,True
GSE165722_RAW.tar,f4e3e7a43fe23a8df250fee99dfcd664f0262d997e84e9e2addff83ace86cab6,69949440,2026-08-13T15:16:32.975183+00:00,GSM5048714_Sample7.cellname.txt.gz,48730,True
GSE165722_RAW.tar,f4e3e7a43fe23a8df250fee99dfcd664f0262d997e84e9e2addff83ace86cab6,69949440,2026-08-13T15:16:32.975183+00:00,GSM5048714_Sample7.counts.tsv.gz,12384377,True
GSE165722_RAW.tar,f4e3e7a43fe23a8df250fee99dfcd664f0262d997e84e9e2addff83ace86cab6,69949440,2026-08-13T15:16:32.975183+00:00,GSM5048715_Sample8.cellname.txt.gz,42664,True
GSE165722_RAW.tar,f4e3e7a43fe23a8df250fee99dfcd664f0262d997e84e9e2addff83ace86cab6,69949440,2026-08-13T15:16:32.975183+00:00,GSM5048715_Sample8.counts.tsv.gz,5565738,True
