archive,archive_sha256,archive_bytes,inspected_at_utc,member,bytes,is_file
GSE230808_RAW.tar,cbff3048581362d69ef5eb33130d5dd97b52a501af1b0a1789c2484012c811ec,737361920,2026-08-13T16:26:44.337048+00:00,GSM7235331_AF_SP20_002_barcodes.tsv.gz,2798,True
GSE230808_RAW.tar,cbff3048581362d69ef5eb33130d5dd97b52a501af1b0a1789c2484012c811ec,737361920,2026-08-13T16:26:44.337048+00:00,GSM7235331_AF_SP20_002_features.tsv.gz,294508,True
GSE230808_RAW.tar,cbff3048581362d69ef5eb33130d5dd97b52a501af1b0a1789c2484012c811ec,737361920,2026-08-13T16:26:44.337048+00:00,GSM7235331_AF_SP20_002_matrix.mtx.gz,2902878,True
GSE230808_RAW.tar,cbff3048581362d69ef5eb33130d5dd97b52a501af1b0a1789c2484012c811ec,737361920,2026-08-13T16:26:44.337048+00:00,GSM7235332_AF_SP20_006_barcodes.tsv.gz,7439,True
GSE230808_RAW.tar,cbff3048581362d69ef5eb33130d5dd97b52a501af1b0a1789c2484012c811ec,737361920,2026-08-13T16:26:44.337048+00:00,GSM7235332_AF_SP20_006_features.tsv.gz,294508,True
GSE230808_RAW.tar,cbff3048581362d69ef5eb33130d5dd97b52a501af1b0a1789c2484012c811ec,737361920,2026-08-13T16:26:44.337048+00:00,GSM7235332_AF_SP20_006_matrix.mtx.gz,13235314,True
GSE230808_RAW.tar,cbff3048581362d69ef5eb33130d5dd97b52a501af1b0a1789c2484012c811ec,737361920,2026-08-13T16:26:44.337048+00:00,GSM7235333_AF_SP21_007_barcodes.tsv.gz,26624,True
GSE230808_RAW.tar,cbff3048581362d69ef5eb33130d5dd97b52a501af1b0a1789c2484012c811ec,737361920,2026-08-13T16:26:44.337048+00:00,GSM7235333_AF_SP21_007_features.tsv.gz,294508,True
GSE230808_RAW.tar,cbff3048581362d69ef5eb33130d5dd97b52a501af1b0a1789c2484012c811ec,737361920,2026-08-13T16:26:44.337048+00:00,GSM7235333_AF_SP21_007_matrix.mtx.gz,57608394,True
GSE230808_RAW.tar,cbff3048581362d69ef5eb33130d5dd97b52a501af1b0a1789c2484012c811ec,737361920,2026-08-13T16:26:44.337048+00:00,GSM7235334_AF_SP21_011_barcodes.tsv.gz,11485,True
GSE230808_RAW.tar,cbff3048581362d69ef5eb33130d5dd97b52a501af1b0a1789c2484012c811ec,737361920,2026-08-13T16:26:44.337048+00:00,GSM7235334_AF_SP21_011_features.tsv.gz,294508,True
GSE230808_RAW.tar,cbff3048581362d69ef5eb33130d5dd97b52a501af1b0a1789c2484012c811ec,737361920,2026-08-13T16:26:44.337048+00:00,GSM7235334_AF_SP21_011_matrix.mtx.gz,42499595,True
GSE230808_RAW.tar,cbff3048581362d69ef5eb33130d5dd97b52a501af1b0a1789c2484012c811ec,737361920,2026-08-13T16:26:44.337048+00:00,GSM7235335_AF_SP21_013_barcodes.tsv.gz,21304,True
GSE230808_RAW.tar,cbff3048581362d69ef5eb33130d5dd97b52a501af1b0a1789c2484012c811ec,737361920,2026-08-13T16:26:44.337048+00:00,GSM7235335_AF_SP21_013_features.tsv.gz,294508,True
GSE230808_RAW.tar,cbff3048581362d69ef5eb33130d5dd97b52a501af1b0a1789c2484012c811ec,737361920,2026-08-13T16:26:44.337048+00:00,GSM7235335_AF_SP21_013_matrix.mtx.gz,54305991,True
GSE230808_RAW.tar,cbff3048581362d69ef5eb33130d5dd97b52a501af1b0a1789c2484012c811ec,737361920,2026-08-13T16:26:44.337048+00:00,GSM7235336_AF_SP21_014_barcodes.tsv.gz,15938,True
GSE230808_RAW.tar,cbff3048581362d69ef5eb33130d5dd97b52a501af1b0a1789c2484012c811ec,737361920,2026-08-13T16:26:44.337048+00:00,GSM7235336_AF_SP21_014_features.tsv.gz,294508,True
GSE230808_RAW.tar,cbff3048581362d69ef5eb33130d5dd97b52a501af1b0a1789c2484012c811ec,737361920,2026-08-13T16:26:44.337048+00:00,GSM7235336_AF_SP21_014_matrix.mtx.gz,35246105,True
GSE230808_RAW.tar,cbff3048581362d69ef5eb33130d5dd97b52a501af1b0a1789c2484012c811ec,737361920,2026-08-13T16:26:44.337048+00:00,GSM7235337_AF_SP21_016_barcodes.tsv.gz,8049,True
GSE230808_RAW.tar,cbff3048581362d69ef5eb33130d5dd97b52a501af1b0a1789c2484012c811ec,737361920,2026-08-13T16:26:44.337048+00:00,GSM7235337_AF_SP21_016_features.tsv.gz,294508,True
GSE230808_RAW.tar,cbff3048581362d69ef5eb33130d5dd97b52a501af1b0a1789c2484012c811ec,737361920,2026-08-13T16:26:44.337048+00:00,GSM7235337_AF_SP21_016_matrix.mtx.gz,18309394,True
GSE230808_RAW.tar,cbff3048581362d69ef5eb33130d5dd97b52a501af1b0a1789c2484012c811ec,737361920,2026-08-13T16:26:44.337048+00:00,GSM7235338_AF_SP21_017_barcodes.tsv.gz,46891,True
GSE230808_RAW.tar,cbff3048581362d69ef5eb33130d5dd97b52a501af1b0a1789c2484012c811ec,737361920,2026-08-13T16:26:44.337048+00:00,GSM7235338_AF_SP21_017_features.tsv.gz,294508,True
