retained_cell_threshold,dataset,gsm,donor_id,compartment,disease_state,source_restricted_qc_passing_cells,total_umi_included_cells,threshold_pass,inference_unit
50,GSE230808,GSM7235339,SP22.002,AF,diseased,3442,80129456,true,donor/library; cells are nested observations
50,GSE230808,GSM7235340,SP22.003,AF,diseased,4138,90844059,true,donor/library; cells are nested observations
50,GSE230808,GSM7235341,SP21.007,NP,diseased,4154,89070698,true,donor/library; cells are nested observations
50,GSE230808,GSM7235342,SP21.011,NP,diseased,1783,102726401,true,donor/library; cells are nested observations
50,GSE230808,GSM7235343,SP21.013,NP,diseased,2122,61708790,true,donor/library; cells are nested observations
50,GSE230808,GSM7235344,SP21.014,NP,diseased,3409,74292100,true,donor/library; cells are nested observations
50,GSE230808,GSM7235345,SP21.016,NP,diseased,1376,48267263,true,donor/library; cells are nested observations
50,GSE230808,GSM7235346,SP21.017,NP,diseased,2498,45483145,true,donor/library; cells are nested observations
50,GSE230808,GSM7235347,SP22.002,NP,diseased,3291,42390781,true,donor/library; cells are nested observations
50,GSE230808,GSM7235348,SP22.003,NP,diseased,13748,68843786,true,donor/library; cells are nested observations
