dataset,gsm,donor_id,compartment,disease_state,module_id,gene_symbol,feature_rows_mapped,pseudobulk_count,total_umi_included_cells
GSE244889,GSM7831813,Pa-17F,NP,MDD,hypoxia_oxidative_stress,SLC2A1,1,2469,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,hypoxia_oxidative_stress,SOD1,1,45695,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,hypoxia_oxidative_stress,SOD2,1,26675,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,hypoxia_oxidative_stress,TXN,1,29616,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,hypoxia_oxidative_stress,VEGFA,1,6468,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,disc_matrix_homeostasis,ACAN,1,170999,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,disc_matrix_homeostasis,B3GAT1,1,1,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,disc_matrix_homeostasis,BGN,1,69547,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,disc_matrix_homeostasis,CILP,1,49822,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,disc_matrix_homeostasis,COL2A1,1,818783,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,disc_matrix_homeostasis,COL9A1,1,154,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,disc_matrix_homeostasis,COL9A2,1,15189,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,disc_matrix_homeostasis,COL9A3,1,34767,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,disc_matrix_homeostasis,COMP,1,424628,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,disc_matrix_homeostasis,FMOD,1,76811,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,disc_matrix_homeostasis,HAPLN1,1,23301,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,disc_matrix_homeostasis,HAS2,1,3289,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,disc_matrix_homeostasis,KRT19,1,732,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,disc_matrix_homeostasis,MATN3,1,16,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,disc_matrix_homeostasis,SOX9,1,32716,67860426
GSE244889,GSM7831814,Pb-55F,NP,MDD,ecm_collagen_remodeling,ADAMTS4,1,2,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,ecm_collagen_remodeling,ADAMTS5,1,174,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,ecm_collagen_remodeling,COL1A1,1,6472,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,ecm_collagen_remodeling,COL1A2,1,9004,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,ecm_collagen_remodeling,COL3A1,1,14478,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,ecm_collagen_remodeling,COL5A1,1,2384,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,ecm_collagen_remodeling,COL5A2,1,3493,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,ecm_collagen_remodeling,COL6A1,1,3638,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,ecm_collagen_remodeling,COL6A2,1,3508,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,ecm_collagen_remodeling,COL6A3,1,1323,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,ecm_collagen_remodeling,DCN,1,144336,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,ecm_collagen_remodeling,FN1,1,182109,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,ecm_collagen_remodeling,LOX,1,784,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,ecm_collagen_remodeling,LOXL2,1,596,15001138
